x1,x2,x3,f(x1,x2,x3)
4002479,605591,6.78,3.52,,
3694434,9019935,8.18,33.25,,
7064942,6178526,4.01,181.18,,
9768757,187747,9.55,1.34,,
7389474,3100985,7.5,27.19,,
9848675,1718524,1.51,494.19,,
1822461,7910327,1.81,293.59,,
3918652,8714367,4.78,99.59,,
9957808,4569913,7.63,52.22,,
6015749,2936070,3.47,97.83,,
1484744,6784468,2.74,89.65,,
2820017,5946593,2.99,124.84,,
9763215,667658,4,27.18,,
6401201,7115545,9.84,31.38,,
9429800,4288645,3.21,261.59,,
5623378,9815325,6.08,99.52,,
3262258,4789500,5.27,37.52,,
4959479,7580505,6.86,53.26,,
2153081,6005481,3.73,62.09,,
9540780,8468969,8.95,67.34,,
950573,3178198,5.67,6.26,,
6197340,6562418,1.4,1376.14,,
2688225,3381099,6.83,13,,
6509201,8508564,5.74,112.25,,
7678890,9793630,7.71,84.5,,
7497278,910286,6.78,9.92,,
9883003,1326903,0.47,4036.66,,
9501252,113138,2.02,17.53,,
4106724,5849038,6.97,33.03,,
617677,5746230,5.83,6.97,,
76113,1982579,1.77,3.21,,
5849025,332214,5.56,4.19,,
1577391,7490254,9.47,8.8,,
173312,9602504,4.18,6.36,,
7164696,1301727,9.92,6.32,,
2937564,6624809,8.68,17.25,,
5491911,1446316,8.68,7.04,,
1786693,1664883,0.29,2362.24,,
1415246,702773,3.98,4.19,,
5003261,1262636,4.33,22.45,,
2446658,4536699,5.97,20.77,,
4389255,7742435,4.48,112.91,,
123115,5519631,5.67,1.41,,
7386584,5418458,2.18,562.92,,
8426781,9222186,2.92,606.73,,
7203036,2274230,1.82,329.53,,
2540261,6230181,4.7,47.71,,
9153773,1474367,6.5,21.33,,
683969,3805470,9.52,1.92,,
9144311,5263496,5.91,91.82,,
6062956,6100350,4.28,134.86,,
3441141,2049236,9.69,5.01,,
1663353,6786025,6.92,15.74,,
1934472,9849159,0.24,22390.98,,
3861116,4843320,7.42,22.66,,
553283,7705031,3.36,25.14,,
9986595,7611357,2.1,1151.6,,
6400295,1185273,8.49,7.02,,
882226,3749312,1.96,57.37,,
2899119,2951976,8.42,8.06,,
6455270,2613475,3.08,118.35,,
8288148,9056269,0.35,41450.58,,
9200280,9732604,3.6,461.69,,
9173670,5264147,2.65,457.3,,
4417743,4957789,4.99,58.7,,
9937893,1836309,8.98,15.09,,
9581628,7623423,2.84,603.57,,
7766167,536209,5.5,9.19,,
3842073,7258434,0.36,14603.12,,
9046732,1894486,6.25,29.24,,
9952774,940533,0.2,14934.32,,
4580867,3638585,9.37,12.66,,
7410414,2179194,7.66,18.38,,
8651657,9320682,4.46,270.98,,
1688361,4636066,4.12,30.76,,
253128,3000697,7.51,0.9,,
8208452,4848605,7.8,43.66,,
6120127,7052491,4.97,116.56,,
3200810,529068,0.4,695.88,,
2683152,2772164,1.64,185.54,,
7814415,8948516,6.26,119.1,,
3341355,4941001,5.95,31.09,,
5212908,6026822,2.66,297.25,,
7867912,9939896,6.9,109.61,,
5805537,7112619,9.01,33.97,,
