x,f(x)
-0.66,18.37
2.99,5.00
2.65,5.12
-1.72,27.31
4.33,6.76
1.94,6.13
-1.02,21.17
0.05,13.73
-1.77,27.78
1.06,8.76
2.25,5.56
-2.26,32.66
3.55,5.30
-2.85,39.19
-0.56,17.69
3.69,5.47
-4.20,56.83
-1.67,26.77
-0.54,17.53
-3.57,48.17
0.29,12.32
0.72,10.18
-4.43,60.25
4.29,6.65
1.55,7.09
0.40,11.75
0.04,13.76
2.95,5.00
-3.38,45.75
-0.64,18.27
1.91,6.20
-0.65,18.34
-2.96,40.51
1.57,7.04
-2.30,33.05
-1.52,25.42
2.15,5.72
-0.58,17.80
3.87,5.75
-3.95,53.30
-2.13,31.29
1.20,8.24
-3.19,43.37
-2.72,37.77
1.25,8.07
-2.34,33.47
3.41,5.17
1.50,7.24
0.75,10.05
-0.69,18.61
0.33,12.12
2.99,5.00
-3.69,49.78
-3.70,49.93
-4.77,65.43
0.51,11.22
1.09,8.64
-0.19,15.19
-3.22,43.75
2.29,5.50
-0.83,19.67
-2.94,40.25
3.36,5.13
-1.55,25.68
-0.79,19.34
2.14,5.75
2.05,5.91
-0.37,16.36
4.75,8.05
1.30,7.89
0.57,10.92
-0.36,16.27
-4.39,59.62
4.67,7.78
-4.94,68.09
-0.29,15.83
3.69,5.47
-4.38,59.49
-4.62,63.05
3.62,5.39
-1.67,26.82
-4.34,58.84
-1.92,29.16
-3.45,46.63
3.34,5.11
-4.78,65.48
4.21,6.48
4.81,8.28
-2.06,30.61
0.12,13.29
-4.41,59.95
0.57,10.91
-1.28,23.35
-0.51,17.30
-1.60,26.14
3.06,5.00
-1.89,28.95
3.33,5.11
-2.43,34.51
-2.31,33.18
-2.17,31.77
-3.16,42.91
-1.45,24.79
-4.63,63.24
2.29,5.50
4.46,7.13
-3.86,52.03
-3.14,42.71
-2.01,30.09
-1.52,25.46
1.11,8.58
1.49,7.29
-0.42,16.72
-4.02,54.31
-3.57,48.14
4.95,8.78
2.53,5.22
3.08,5.01
4.49,7.22
-1.52,25.44
-4.90,67.39
-2.75,38.01
-4.58,62.40
0.49,11.32
-0.51,17.35
-2.98,40.74
4.70,7.89
2.09,5.82
3.17,5.03
3.15,5.02
4.92,8.68
0.19,12.91
-3.29,44.53
-2.84,39.08
2.77,5.05
-4.97,68.48
3.47,5.22
0.91,9.36
-2.79,38.49
4.64,7.70
0.02,13.89
-4.21,56.99
-1.04,21.30
4.86,8.45
3.51,5.26
1.19,8.27
4.64,7.68
2.22,5.61
3.68,5.46
-0.19,15.20
1.06,8.76
-3.29,44.60
2.61,5.15
1.52,7.19
-3.41,46.04
2.55,5.20
-4.95,68.12
-1.30,23.50
-3.33,45.02
-1.44,24.75
-4.30,58.27
3.06,5.00
0.21,12.80
3.58,5.34
-2.45,34.73
-1.61,26.29
1.91,6.19
-0.85,19.79
-2.82,38.93
3.93,5.86
3.25,5.06
-1.40,24.37
