x,f(x)
1.989,0.535
-3.235,-80.232
1.096,-0.114
-3.882,-1889.612
2.888,0.346
-0.319,-0.012
3.748,-0.736
0.742,-0.064
-1.811,10.245
-2.685,131.871
1.774,0.223
4.708,-0.004
-2.781,127.923
-4.789,924.805
1.504,-0.047
-1.822,11.070
-1.627,1.296
-2.538,122.371
4.296,-0.534
4.700,-0.012
-1.395,-1.566
-4.321,-2838.721
2.486,0.800
-1.433,-1.453
1.533,-0.028
1.911,0.420
2.732,0.556
2.876,0.362
-3.334,-202.375
2.296,0.830
-2.710,131.722
-1.098,-1.028
-4.777,775.883
-3.976,-2282.527
1.844,0.322
-3.394,-298.156
3.819,-0.780
-2.812,124.518
4.491,-0.263
-4.488,-2116.307
-4.122,-2764.834
-4.468,-2244.182
4.245,-0.600
4.988,0.166
2.070,0.644
-4.266,-2909.963
-1.042,-0.871
3.046,0.129
-4.717,55.514
3.873,-0.800
1.999,0.549
3.178,-0.048
2.687,0.611
4.065,-0.767
4.169,-0.684
-0.539,-0.092
-2.699,131.855
-2.188,60.999
2.390,0.837
1.181,-0.120
4.131,-0.719
3.606,-0.602
-0.506,-0.072
-0.430,-0.039
1.455,-0.073
4.518,-0.226
0.091,-0.000
0.907,-0.090
-3.932,-2101.158
-2.903,107.880
-4.068,-2614.339
2.174,0.756
2.469,0.809
-4.248,-2916.690
0.456,-0.020
-2.231,69.292
-0.167,-0.001
2.988,0.208
-3.737,-1283.445
-1.677,2.946
-2.633,130.390
-2.666,131.612
1.159,-0.119
-4.386,-2651.269
-1.807,9.986
-2.354,92.920
-1.893,17.421
0.743,-0.065
4.231,-0.616
4.554,-0.178
1.916,0.429
-3.713,-1187.209
-0.246,-0.004
-2.734,131.001
0.861,-0.083
-3.022,68.160
-0.774,-0.327
-3.307,-165.196
4.504,-0.245
-2.400,101.492
-4.128,-2778.866
3.905,-0.806
-0.010,-0.000
1.265,-0.119
0.984,-0.101
-3.695,-1122.288
-2.186,60.714
-3.994,-2353.644
0.418,-0.015
2.570,0.737
4.642,-0.072
2.703,0.592
3.957,-0.806
1.448,-0.076
-4.843,1617.396
2.771,0.505
-4.760,571.164
-1.255,-1.473
-2.919,104.028
-0.256,-0.005
4.836,0.097
1.505,-0.046
3.560,-0.549
4.918,0.140
-3.312,-171.771
-1.702,3.956
4.896,0.130
3.546,-0.532
-1.362,-1.603
-0.231,-0.003
-2.739,130.806
4.747,0.031
1.040,-0.108
4.168,-0.685
-0.528,-0.085
-4.773,732.187
3.561,-0.550
-1.542,-0.479
0.150,-0.000
4.211,-0.639
-0.809,-0.379
-3.254,-100.952
-3.300,-156.075
4.561,-0.170
-3.782,-1462.896
4.323,-0.499
4.367,-0.438
2.943,0.270
3.450,-0.410
-2.632,130.362
-1.601,0.630
0.155,-0.000
1.335,-0.111
-4.495,-2065.785
4.789,0.065
1.213,-0.121
1.793,0.249
-3.163,-15.691
-4.570,-1471.218
3.646,-0.645
2.530,0.770
2.818,0.441
1.640,0.064
1.623,0.046
-2.557,124.474
3.381,-0.319
-4.030,-2487.929
2.951,0.259
3.267,-0.168
1.113,-0.116
-4.066,-2607.350
-4.193,-2890.333
4.099,-0.745
-3.042,59.087
4.939,0.149
2.120,0.703
-0.414,-0.034
-1.111,-1.066
4.992,0.167
4.939,0.149
-0.308,-0.011
-0.655,-0.184
3.040,0.137
-2.175,58.626
-1.283,-1.533
-3.184,-33.030
-2.248,72.568
-4.663,-552.568
4.004,-0.796
1.889,0.388
-3.604,-808.012
-4.981,3473.114
0.167,-0.001
-1.663,2.438
2.107,0.688
2.941,0.272
-1.991,28.848
-4.636,-842.241
0.264,-0.003
-3.185,-34.007
-1.599,0.594
-1.996,29.575
-1.015,-0.800
2.976,0.225
-4.719,81.313
-1.161,-1.214
2.793,0.476
-3.882,-1887.969
-1.303,-1.567
-4.277,-2902.216
0.406,-0.014
3.561,-0.550
-1.672,2.767
-3.038,60.912
-2.691,131.888
-0.953,-0.652
0.291,-0.005
-2.433,107.220
1.241,-0.120
4.581,-0.145
-4.801,1077.149
-2.413,103.662
4.108,-0.738
2.689,0.610
3.412,-0.360
-3.687,-1090.688
-3.097,29.444
-4.417,-2519.944
4.220,-0.629
4.152,-0.701
-4.777,776.223
2.226,0.795
-0.701,-0.233
-2.610,129.045
1.686,0.113
-0.982,-0.720
-2.805,125.449
-0.283,-0.007
-1.854,13.700
4.971,0.160
4.815,0.083
-1.629,1.360
4.991,0.167
-2.421,105.054
3.955,-0.806
2.095,0.674
-3.014,71.330
1.351,-0.108
-4.250,-2916.274
2.700,0.596
-4.842,1606.063
-3.034,62.876
3.570,-0.560
1.959,0.491
2.030,0.593
-4.619,-1010.410
-4.583,-1354.975
0.805,-0.075
3.133,0.011
-2.171,57.933
0.101,-0.000
-1.629,1.350
1.202,-0.120
-0.340,-0.016
-2.354,93.035
4.260,-0.581
0.695,-0.056
3.202,-0.080
3.235,-0.124
-1.371,-1.598
-0.636,-0.166
